numid,block,config
1,10.50.45.0/24,block_infra_normal
1,172.18.0.0/21,block_prod_large
2,10.50.40.0/24,block_infra_normal
2,172.18.8.0/21,block_prod_large
3,10.50.53.0/24,block_infra_normal
3,172.18.16.0/21,block_prod_large
4,10.50.76.0/24,block_infra_normal
4,172.18.24.0/21,block_prod_large
5,10.50.48.0/24,block_infra_normal
5,172.18.32.0/22,block_prod_normal
6,10.50.42.0/24,block_infra_normal
6,172.18.36.0/22,block_prod_normal
7,10.50.41.0/24,block_infra_normal
7,172.18.40.0/22,block_prod_normal
8,10.50.75.0/24,block_infra_normal
8,172.18.44.0/22,block_prod_normal
9,10.50.38.0/24,block_infra_normal
9,172.18.48.0/22,block_prod_normal
10,10.50.80.0/24,block_infra_normal
10,172.18.52.0/22,block_prod_normal
11,10.50.26.0/24,block_infra_normal
11,172.18.56.0/22,block_prod_normal
12,10.50.46.0/24,block_infra_normal
12,172.18.60.0/22,block_prod_normal
13,10.50.73.0/24,block_infra_normal
13,172.18.64.0/22,block_prod_normal
14,10.50.68.0/24,block_infra_normal
14,172.18.68.0/22,block_prod_normal
15,10.50.55.0/24,block_infra_normal
15,172.18.72.0/22,block_prod_normal
16,10.50.60.0/24,block_infra_normal
16,172.18.76.0/22,block_prod_normal
17,10.50.33.0/24,block_infra_normal
17,172.18.80.0/22,block_prod_normal
18,10.50.59.0/24,block_infra_normal
18,172.18.84.0/22,block_prod_normal
19,10.50.47.0/24,block_infra_normal
19,172.18.88.0/22,block_prod_normal
20,10.50.52.0/24,block_infra_normal
20,172.18.92.0/22,block_prod_normal
21,10.50.67.0/24,block_infra_normal
21,172.18.96.0/22,block_prod_normal
22,10.50.66.0/24,block_infra_normal
22,172.18.100.0/22,block_prod_normal
23,10.50.34.0/24,block_infra_normal
23,172.18.104.0/22,block_prod_normal
24,10.50.64.0/24,block_infra_normal
24,172.18.108.0/22,block_prod_normal
25,10.50.50.0/24,block_infra_normal
25,172.18.112.0/22,block_prod_normal
26,10.50.51.0/24,block_infra_normal
26,172.18.116.0/22,block_prod_normal
27,10.50.29.0/24,block_infra_normal
27,172.18.120.0/22,block_prod_normal
28,10.50.82.0/24,block_infra_normal
28,172.18.124.0/22,block_prod_normal
29,10.50.81.0/24,block_infra_normal
29,172.18.128.0/22,block_prod_normal
30,10.50.54.0/24,block_infra_normal
30,172.18.132.0/22,block_prod_normal
31,10.50.36.0/24,block_infra_normal
31,172.18.136.0/22,block_prod_normal
32,10.50.39.0/24,block_infra_normal
32,172.18.140.0/22,block_prod_normal
33,10.50.71.0/24,block_infra_normal
33,172.18.144.0/22,block_prod_normal
34,10.50.65.0/24,block_infra_normal
34,172.18.148.0/22,block_prod_normal
35,10.50.61.0/24,block_infra_normal
35,172.18.152.0/22,block_prod_normal
36,10.50.72.0/24,block_infra_normal
36,172.18.156.0/22,block_prod_normal
37,10.50.28.0/24,block_infra_normal
37,172.18.160.0/22,block_prod_normal
38,10.50.74.0/24,block_infra_normal
38,172.18.164.0/22,block_prod_normal
39,10.50.37.0/24,block_infra_normal
39,172.18.168.0/22,block_prod_normal
40,10.50.30.0/24,block_infra_normal
40,172.18.172.0/22,block_prod_normal
41,10.50.58.0/24,block_infra_normal
41,172.18.176.0/22,block_prod_normal
42,10.50.57.0/24,block_infra_normal
42,172.18.180.0/22,block_prod_normal
43,10.50.27.0/24,block_infra_normal
43,172.18.184.0/22,block_prod_normal
44,10.50.56.0/24,block_infra_normal
44,172.18.188.0/22,block_prod_normal
45,10.50.43.0/24,block_infra_normal
45,172.18.192.0/22,block_prod_normal
46,10.50.31.0/24,block_infra_normal
46,172.18.196.0/22,block_prod_normal
47,10.50.49.0/24,block_infra_normal
47,172.18.200.0/22,block_prod_normal
48,10.50.70.0/24,block_infra_normal
48,172.18.204.0/22,block_prod_normal
49,10.50.63.0/24,block_infra_normal
49,172.18.212.0/22,block_prod_normal
50,10.50.35.0/24,block_infra_normal
50,172.18.216.0/22,block_prod_normal
51,10.50.44.0/24,block_infra_normal
51,172.18.220.0/22,block_prod_normal
52,10.50.79.0/24,block_infra_normal
52,172.18.224.0/22,block_prod_normal
53,10.50.62.0/24,block_infra_normal
53,172.18.228.0/22,block_prod_normal
54,10.50.78.0/24,block_infra_normal
54,172.18.232.0/22,block_prod_normal
55,10.50.69.0/24,block_infra_normal
55,172.18.236.0/22,block_prod_normal
56,10.50.32.0/24,block_infra_normal
56,172.18.240.0/22,block_prod_normal
