numid,vlanid,name,ipnet,mask,gateway,ip,cidr,size,ipnum
1,12,INFRA,10.50.45.0/24,255.255.255.0,10.50.45.1,10.50.45.0,24,256,171060480
1,5000,DMZ,172.18.0.0/22,255.255.252.0,172.18.3.254,172.18.0.0,22,1024,2886860800
1,4000,DMZ_PUB,172.18.4.0/24,255.255.255.0,172.18.4.254,172.18.4.0,24,256,2886861824
1,2200,TOIP,172.18.5.0/25,255.255.255.128,172.18.5.126,172.18.5.0,25,128,2886862080
1,5300,IMPRESSION,172.18.5.128/25,255.255.255.128,172.18.5.254,172.18.5.128,25,128,2886862208
1,1500,PROD,172.18.6.0/24,255.255.255.0,172.18.6.254,172.18.6.0,24,256,2886862336
1,900,TEST,172.18.7.0/24,255.255.255.0,172.18.7.254,172.18.7.0,24,256,2886862592
2,22,INFRA,10.50.40.0/24,255.255.255.0,10.50.40.1,10.50.40.0,24,256,171059200
2,5000,DMZ,172.18.8.0/22,255.255.252.0,172.18.11.254,172.18.8.0,22,1024,2886862848
2,4000,DMZ_PUB,172.18.12.0/24,255.255.255.0,172.18.12.254,172.18.12.0,24,256,2886863872
2,2200,TOIP,172.18.13.0/25,255.255.255.128,172.18.13.126,172.18.13.0,25,128,2886864128
2,5300,IMPRESSION,172.18.13.128/25,255.255.255.128,172.18.13.254,172.18.13.128,25,128,2886864256
2,1500,PROD,172.18.14.0/24,255.255.255.0,172.18.14.254,172.18.14.0,24,256,2886864384
2,900,TEST,172.18.15.0/24,255.255.255.0,172.18.15.254,172.18.15.0,24,256,2886864640
3,32,INFRA,10.50.53.0/24,255.255.255.0,10.50.53.1,10.50.53.0,24,256,171062528
3,5000,DMZ,172.18.16.0/22,255.255.252.0,172.18.19.254,172.18.16.0,22,1024,2886864896
3,4000,DMZ_PUB,172.18.20.0/24,255.255.255.0,172.18.20.254,172.18.20.0,24,256,2886865920
3,2200,TOIP,172.18.21.0/25,255.255.255.128,172.18.21.126,172.18.21.0,25,128,2886866176
3,5300,IMPRESSION,172.18.21.128/25,255.255.255.128,172.18.21.254,172.18.21.128,25,128,2886866304
3,1500,PROD,172.18.22.0/24,255.255.255.0,172.18.22.254,172.18.22.0,24,256,2886866432
3,900,TEST,172.18.23.0/24,255.255.255.0,172.18.23.254,172.18.23.0,24,256,2886866688
4,42,INFRA,10.50.76.0/24,255.255.255.0,10.50.76.1,10.50.76.0,24,256,171068416
4,5000,DMZ,172.18.24.0/22,255.255.252.0,172.18.27.254,172.18.24.0,22,1024,2886866944
4,4000,DMZ_PUB,172.18.28.0/24,255.255.255.0,172.18.28.254,172.18.28.0,24,256,2886867968
4,2200,TOIP,172.18.29.0/25,255.255.255.128,172.18.29.126,172.18.29.0,25,128,2886868224
4,5300,IMPRESSION,172.18.29.128/25,255.255.255.128,172.18.29.254,172.18.29.128,25,128,2886868352
4,1500,PROD,172.18.30.0/24,255.255.255.0,172.18.30.254,172.18.30.0,24,256,2886868480
4,900,TEST,172.18.31.0/24,255.255.255.0,172.18.31.254,172.18.31.0,24,256,2886868736
5,52,INFRA,10.50.48.0/24,255.255.255.0,10.50.48.1,10.50.48.0,24,256,171061248
5,5000,DMZ,172.18.32.0/23,255.255.254.0,172.18.33.254,172.18.32.0,23,512,2886868992
5,4000,DMZ_PUB,172.18.34.0/25,255.255.255.128,172.18.34.126,172.18.34.0,25,128,2886869504
5,2200,TOIP,172.18.34.128/26,255.255.255.192,172.18.34.190,172.18.34.128,26,64,2886869632
5,5300,IMPRESSION,172.18.34.192/26,255.255.255.192,172.18.34.254,172.18.34.192,26,64,2886869696
5,1500,PROD,172.18.35.0/25,255.255.255.128,172.18.35.126,172.18.35.0,25,128,2886869760
5,900,TEST,172.18.35.128/25,255.255.255.128,172.18.35.254,172.18.35.128,25,128,2886869888
6,62,INFRA,10.50.42.0/24,255.255.255.0,10.50.42.1,10.50.42.0,24,256,171059712
6,5000,DMZ,172.18.36.0/23,255.255.254.0,172.18.37.254,172.18.36.0,23,512,2886870016
6,4000,DMZ_PUB,172.18.38.0/25,255.255.255.128,172.18.38.126,172.18.38.0,25,128,2886870528
6,2200,TOIP,172.18.38.128/26,255.255.255.192,172.18.38.190,172.18.38.128,26,64,2886870656
6,5300,IMPRESSION,172.18.38.192/26,255.255.255.192,172.18.38.254,172.18.38.192,26,64,2886870720
6,1500,PROD,172.18.39.0/25,255.255.255.128,172.18.39.126,172.18.39.0,25,128,2886870784
6,900,TEST,172.18.39.128/25,255.255.255.128,172.18.39.254,172.18.39.128,25,128,2886870912
7,72,INFRA,10.50.41.0/24,255.255.255.0,10.50.41.1,10.50.41.0,24,256,171059456
7,5000,DMZ,172.18.40.0/23,255.255.254.0,172.18.41.254,172.18.40.0,23,512,2886871040
7,4000,DMZ_PUB,172.18.42.0/25,255.255.255.128,172.18.42.126,172.18.42.0,25,128,2886871552
7,2200,TOIP,172.18.42.128/26,255.255.255.192,172.18.42.190,172.18.42.128,26,64,2886871680
